restname,address,opening hours,contact,rating,conclusion 
Chao Shan Cuisine,"#01-01, Grand Building, 17 Phillip Street, , Singapore 048695","
Opening hours:
Daily: 11:30AM to 2:30PM
6:00PM to 10:00PM","63362390, Liang 9004 6655",,Note:  The restaurant has since relocated.  The address has been updated.
,,,,,"Special thanks to Nam Wan Tea Co. Pte Ltd for their input. Nam Wan Tea blends Durian and New Hill Bird brand Tea Dust and has been in the Tea business since the Ching Dynasty! They are right here in Singapore and the family can trace their lineage back to the original Mr Wei who is said to have developed the first Tie Guan Yin Oolong Tea in 1725.  The fascinating story of how Tie Guan Yin got its name can be found
."
Orchard Cafe,"Orchard Hotel 442 Orchard Road Singapore 238879, Singapore","
Opening hours:
(Not available)",67347766,,Enjoy the “Go Local” Buffet at only 46 cents for every third diner. Buffet prices range from $48 to $58 for adults. Children half price.
Soon Heng Restaurant,"39 Kinta Road Singapore 219108, Singapore","
Opening hours:
Mon-Fri: 10:30AM to 8:00PM
Sat/Sun/PH: 10:30AM to 5:00PM","6294 7343, 6294 6561, Khai Chew: 82884623",,"If you are a Curry Fish Head lover, then Soon Heng is definitely a pilgrimage you need to take since it is Singapore’s oldest Curry Fish Head restaurant!"
Enoteca L’Operetta (Certified VPN),"78,79 Boat Quay (furthest from the UOB Plaza) Singapore 049866, Singapore","
Opening hours:
Mon-Sat: 11:30AM to 2:30PM
6:00PM to 11:00PM",64382482,,"Branch:
Pizzeria L’Opretta (Awaiting VPN)
12 Gopeng Street #01-78-81
Icon Village Singapore 078877
62229487
Mon-Sat 11:30am-11:00pm"
Roadhouse,"#01-07, Block 13, Dempsey Road (Just next to/behind PS Cafe) Singapore 249674, Singapore","
Opening hours:
(Not available)",6476-2922,,
Choon Seng Teochew Porridge,"Blk 43 Cambridge Road #01-09 Singapore 210043, Singapore","
Opening hours:
11:00AM to 2:30PM
Closed:
Sun/PH","62930706, 96788458",,"Given the popularity of the stall with the locals and the effort put in by the owners to ensure that the quality of the food is top notch, I really can’t figured out why they have been able to stay low key for so long. If you love super fresh of steamed fish, this is one of the best places to get it. Aside from the freshly steamed fish, most of the other ready dishes go for $2 to $3 a plate, so you can still have a wonderful meal of Teochew porridge with plenty of change left in the pocket.

"
,,,,,"Penang Road Cafe
275 Thomson Road
#01-08, Novena Ville
Singapore 307645
62563218, 97862079 (Alan Lim)
11.30am to 2.30pm
5.45pm to 9.15pm
Closed Mondays"
,,,,,
Guy Savoy,"10 Bayfront Avenue,#L2-01,  Casino Level 2  Marina Bay Sands Singapore , Singapore","
Opening hours:
(Not available)",6688 8513,,
Straits Kitchen,"Grand Hyatt Singapore 10 Scotts Road (S)228211, Singapore","
Opening hours:
6:00AM to 12:00AM",6732 1234,,
Seng Huat Restoran,"9, Jalan Besar, Klang, Malaysia","
Opening hours:
7:30AM to 2:00PM
5:00PM to 8:00PM
Closed:
1st & 15th on Chinese Lunar Calendar",60 3 3371 2652,,"Travel Notes: There are several bridges in Klang. If you cross the old bridge and you will spot the signboard at the side of the shophouse, then make another round and instead of going over the bridge, keep left and go under the bridge. PS go early. We were there at 7.30am and the crowds were already building up."
Nam Chai Restaurant Bak Kut Teh,"Bandar Nam Tung, Ground Floor Block D, Lot 1, P O Box No. 1092 90712 Sandakan, Sabah Malaysia, Malaysia","
Opening hours:
8:30AM to 2:00PM
6:00PM to 9:00PM
Closed:
Mondays",089-612603,,
Fragrant Sauce Chicken,"QS 269 Food House Blk 269B, Queen Street #01-236 Singapore 182269, Singapore","
Opening hours:
10:30AM to 8:00PM
Closed:
Thursdays",98522245 Randy Tse,,
Lau Hock Guan Kee Bak Kut Teh,"328, Joo Chiat Road, #01-02 Singapore 427585, Singapore","
Opening hours:
8:30AM to 4:00PM
4:30PM to 12:00AM
Closed:
Thursday",64404928,,"1. Hot and Robust curries carry a famous name.  Wendy Hutton, Straits Times Annual 1974, Pg 86"
He Zhong Carrot Cake,"Bukit Timah Food Centre #02-185 , Singapore","
Opening hours:
Daily: 6:30AM to 10:30PM",,,
Al Mahboob Indian Rojak,"Blk 506, Tampines Ave 4  #01-361 Singapore 520506, Singapore","
Opening hours:
12:30PM to 9:00PM
Closed:
Alt Wed","67882257, 9132208",,
Cantonese Delights,"Hong Lim Food Centre  #02-03, Singapore","
Opening hours:
8:30AM to 3:00PM
Closed:
Alt Mon & PH",91051904,,
De Burg,"De Burg 2 Kallang Avenue CT Hub #02-15 , Singapore 339407","
Opening hours:
Weekday D: 5:45PM to 10:00PM
Weekends: 11:00AM to 10:00PM
Closed:
Last Monday and Tuesday of the month",,,
Kong Kee Seafood Restaurant,"19-20 China Street , Singapore","
Opening hours:
Daily: 11:00AM to 9:00PM",65363023,,
Kwong Woh Hing,"5 Defu Lane 9 Singapore 539247, Singapore","
Opening hours:
Daily: 9:00AM to 5:00PM
Sat: 9:00AM to 3:00PM
Closed:
Sundays",62889497,,
Prive,"No.2 Keppel Bay Vista Marina Keppel Bay, Singapore","
Opening hours:
(Not available)",67760777,,
Lai Heng Mushroom Minced Meat Mee,"Block 51 Lor 6, Toa Payoh, Singapore","
Opening hours:
8:30AM to 4:00PM
Closed:
Wednesdays",,,
Seng Heng Hainanese Boneless Chicken Rice,"Bukit Timah Food Centre #02-177, Singapore","
Opening hours:
10:45AM to 3:00PM
Closed:
Sunday",96624263,,"So have you given thought about what our President should be?  Who do  you think is the best President we have had so far?  What do you think  are the qualities you would like to see in the President and what is his  role.  Most importantly, do you think that just because he is the  President, he should be able to recommend good hawker food?  (Don’t take  the last one too seriously)"
Hokkaido Sushi,"M Hotel, Level 9 81 Anson Road, Singapore","
Opening hours:
(Not available)",65006121,,"1. The Connoisseur’s Guide to Sushi: Dave Lowry, Havard Common Press, 2005
2. Sushi: Food for the eye, body and soul: Ole G Mouritsen, Springer Science, 2009
3. Sustainable Sushi: Sustainable Sushi: Cassen Trennor, North Atlantic Books, 2008"
Outram Park Fried Kway Teow Mee,"Hong Lim Market and Food Centre Blk 531A, Stall 02-17, Singapore","
Opening hours:
Mon-Sat: 6:00AM to 4:30PM
Closed:
Sun and PH",,,
Restoran Ahwa,"66, Jalan 14/48 Petaling Jaya Selangor, Malaysia , Malaysia","
Opening hours:
(Not available)",,,"I wonder if Malaysians crave for the Singapore style Hokkien Mee as we do for KL Hokkien Mee. What really makes the dish special is the thick, starchy noodles which is hard to find here in Singapore."
Restoran Green View,"No. 6 & 8 Jalan 19/3 46300 Petaling Jaya Selangor, Malaysia","
Opening hours:
11:00AM to 11:00PM",(603) 7958 1076 or 7954 9263,,
Tanglin Halt Original Peanut Pancake,"Tanglin Halt Market Stall 16, Singapore","
Opening hours:
5:00AM to 11:00AM
Closed:
Mondays & Fridays",97123653,,Thanks to Sen for the upload
Mandarin Court,"Level 35, Mandarin Orchard Hotel 333 Orchard Road, Singapore","
Opening hours:
(Not available)",68316262,,
China Street Fritters,"Maxwell Road Food Centre Stall 64, Singapore","
Opening hours:
12:00PM to 8:00PM
Closed:
Mondays",92386464,,
Homebaked Dough,"Blk 5, Tanjong Pagar Plaza #02-04/05 Teck Kee Coffeeshop, Singapore","
Opening hours:
Mon-Fri: 11:30AM to 2:30PM
Closed:
Sat & Sun",,Stall Closed!,Yes hawker priced Ramen has hit our coffeeshops! Hopefully we shall see more and more places where we can enjoy a hearty bowl of Ramen for cheap!
Inagiku,"Level 3, Fairmont Singapore 80 Bras Basah Road Singapore 189560, Singapore","
Opening hours:
(Not available)",6431 6156,,
Whampoa Fish Head Steamboat,"Whampoa Market, Singapore","
Opening hours:
5:00PM to 9:30PM
Closed:
Tuesdays",,,
Soon Soon Teochew Porridge,"13 Simon Road, Singapore","
Opening hours:
11:00AM to 10:00PM
Closed:
Tuesdays",,,"This is my current favourite place to have a quick bowl of porridge, filling the space left by
after they closed. You probably would end up spending $6 to $8 per head if you order a few dishes with porridge. Most of the dishes are quite good so you will be able to quell that craving for Teochew Muay. Evening parking can be quite a challenge but it is quite easy to find a spot during lunch."
Akashi,"1 Tanglin Road, #01-01A Orchard Parade Hotel Singapore, Singapore","
Opening hours:
(Not available)",67324438,,Mention ieatishootipost when you order a Chef’s Chirashi Don and get a 10% discount and free fruit. Normal price $50++. Valid till 31 May 2011 at Akashi Orchard Parade Hotel as well as branches at Paragon and Vivocity.
Cafe de Hong Kong,"586 Balestier Road #01-01 Eastpac Building Singapore 329898, Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 12:00AM",62553865,,
db Bistro Moderne,"Marina Bay Sands, 10 Bayfront Ave, B1-48 (directly opp Theatre), Singapore","
Opening hours:
(Not available)",66888525,,This was a media review
Rong Xing Yong Tau Foo,"3 Yung Sheng Road, #03-120 Taman Jurong Market & Hawker Centre, Singapore 618499, Singapore","
Opening hours:
Mon-Thurs: 8:30AM to 2:00PM
Sun: 8:30AM to 2:00PM
Closed:
Friday & Saturday",,,"3 Yung Sheng Road, #03-120 Taman Jurong Market & Hawker Centre, Singapore 618499
OPENING HOURS:
Mon to Thurs and Sun: 8.30am – 2pm
Closed on Friday & Saturday"
Seng Huat Hokkien Mee,"Pasir Panjang Food Centre 131 Pasir Panjang Road Stall 39, Singapore","
Opening hours:
12:00PM to 9:30PM
Closed:
Sun & PH",64738922,,
Wok Inn Fish and Chips,"PoMo, 1 Selegie Rd #01-20., Singapore 188306","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:30PM to 8:50PM
Closed:
Mon",98976048,,Thanks to Sen for the video upload
Restoran Hak Seng,"49M, Jalan Lumba Kuda, 80300 Johore Bahru, Johor, Malaysia","
Opening hours:
12:00PM to 9:30PM
Closed:
Alt Wed",(07) 2225830/ (016) 7993670,,
Nam Wah Chong Fish Head Steamboat Corner,"814/816 North Bridge Road Singapore 198779/81, Singapore","
Opening hours:
(Not available)",62979319,,
,,,,,"The full recipe can be found
."
,,,,,"So without further ado, we declare that the Best Bak Chor Mee crown belongs to Hill Street Tai Hua Bak Chor Mee!"
You Peng Fresh Mian Jiao Zi Guan,"114, Upper Bukit Timah, Beauty World Centre, #04-23 Singapore 588177, Singapore","
Opening hours:
10:30AM to 9:00PM",92391598 Ms Chia 64635608,,
Santi,"10 Bayfront Avenue #L2-03, Casino Level 2, Marina Bay Sands, Singapore","
Opening hours:
(Not available)",6688 8501,,This is a media review
KUMO Japanese Kaiseki Restaurant,"Icon Village 12 Gopeng Street #01-58  Singapore 078877, Singapore","
Opening hours:
(Not available)
Closed:
Sundays",6225 8433,,"This review was part of a media invite
The dishes shown are part of an Omakase Course"
,,,,,AVA has lifted bans on produce from Shizuoka and Hyogo
Tian Shui Chicken Rice,"Tanglin Halt Market Stall no. #01-21, Singapore","
Opening hours:
9:00AM to 8:00PM
Closed:
Mondays",97575532 Ah Chuang,,
Tatsuya,"Goodwood Park Hotel 22 Scotts Road, Singapore","
Opening hours:
(Not available)",67371160,,"Click
to read the primer on Radiation and Food Safety, Is food from Japan safe to eat?"
Whampoa Keng Fishhead Steamboat,"556 Balestier Road , Singapore","
Opening hours:
11:00AM to 11:00PM",97694451 (Keng) 91276550 Doris,,
Delicious Duck Noodles,"Tanglin Halt Market Commonwealth Drive Stall No. 23, Singapore","
Opening hours:
4:00AM to 2:00PM
Closed:
Fridays",97829210 Mdm Ngern,,
Ya Kun Kaya Toast,"18 China Street, Singapore","
Opening hours:
Weekdays: 7:30AM to 7:00PM
Weekends: 8:00AM to 5:00PM",,,"It’s good to know that Ya Kun’s flagship stall is still run by the family and that they are still doing a lot of things the traditional way. So, even though you might think you are familiar with the food at Ya Kun, a visit to their family stall at Far East Square might still be well worth the effort."
Fukuichi Japanese Dining Restaurant,"TripleOne Somerset Road #02-11/12 Singapore 238164, Singapore","
Opening hours:
(Not available)",6271 5586,,
,,,,,Thanks to Sen for the upload!
Tan Hock Seng,"86 Telok Ayer Street Singapore 048469, Singapore","
Opening hours:
Mon-Sat: 9:00AM to 7:30PM
Sun: 12:00PM to 4:00PM",65331798,,Thanks to Sen for the video upload!
Smith’s Fish and Chips,"230 Tanjong Katong Road Singapore 437018, Singapore","
Opening hours:
12:00PM to 11:00PM
Closed:
Mondays",,,
Ah Chiang Traditional Charcoal Porridge,"Blk 190, Toa Payoh Lor 6 #01-526, Singapore","
Opening hours:
7:00AM to 9:30PM",63566009,,"Great place to find a hot bowl of porridge throughout the day! It might not be the best porridge around, but it is available in a convenient location and I like the fact that you can order a side dish of You Tiao."
Kuriya Dining,"1 Kim Seng Promenade #01-28 Great World City (Office Tower), Singapore","
Opening hours:
11:30AM to 2:15PM
6:30PM to 10:00PM",67360888,,"NB: This was the set lunch menu which was design to give value for money, so it might not reflect the full potential of what Chef Tsuzuki can do. Of course, an omakase (chef’s table) would be the best way to gauge, but you will need to set aside a budget of $200 to $500 per pax."
Rolina,"Serangoon Garden Market #01-32, Singapore","
Opening hours:
7:30AM to 5:00PM
Closed:
Mondays",,,PS: Damien commented that the name Rolina came about because the Aunties in the 70’s couldn’t pronounce Novena properly and it turned out Rolina!
Peperoni Pizzeria,"7 Binjai Park Singapore 589821, Singapore","
Opening hours:
(Not available)",64637800,,"
Peperonis is where Teck Hin Eating House used to be"
Sole Pomodoro Pizzeria,"12/21 Mackenzie Road #01-01 (Opp Rex Cinema) Singapore 228678, Singapore","
Opening hours:
12:00PM to 11:00PM
Closed:
Mondays",68843671,,
Puay Heng Bak Chor Mee,"23/24 China St, Far East Square, #01-01, Singapore","
Opening hours:
(Not available)",65366707,,
Whampoa Keng Fishhead Steamboat,"556 Balestier Road , Singapore 329872","
Opening hours:
Lunch: 11:00AM to 3:00PM
Dinner: 5:00PM to 11:00PM",97694451 Keng; 91276550 Doris,,
,,,,,
Roxy Laksa,"48 East Coast Lagoon Food Village, Singapore","
Opening hours:
Mon-Fri: 10:30AM to 9:00PM
Wkends/PH: 8:30AM to 9:00PM
Closed:
Monday evening",96302321,,"Click
to read part II of the Katong Laksa Story"
L’Operetta,"78,79 Boat Quay (furthest from the UOB Plaza) Singapore 049866, Singapore","
Opening hours:
(Not available)",64382482,,
Fukuichi Japanese Dining Restaurant,"TripleOne Somerset Road #02-11/12 Singapore 238164, Singapore","
Opening hours:
(Not available)",6271 5586,,
Janggut Laksa,"Queensway Shopping Centre, #01-59, Singapore","
Opening hours:
10:00AM to 9:15PM",Mdm Ng: 96221045,,Video added on 5 Sep 2016
Kinki Restaurant and Bar,"70 Collyer Quay Customs House Level 2 Singapore 049323, Singapore","
Opening hours:
(Not available)
Closed:
No lunch service on Sat. Closed on Sundays",65333471,,
